GSM,648,4,22210,19462,0,25.8477,-17.926,1000,9,1,1446093290,1733986580,0
GSM,648,4,22210,19463,0,25.8473,-17.9083,6010,4,1,1446086790,1743396006,0
GSM,648,4,22210,18222,0,26.5185,-18.3485,2143,9,1,1446102641,1778212451,0
GSM,648,4,22210,18322,0,26.4772,-18.3442,4298,7,1,1446071660,1778212457,0
GSM,648,4,22210,18923,0,26.598,-18.3594,4057,8,1,1446102637,1778039954,0
GSM,648,4,22210,19392,0,26.5498,-18.3508,26352,12,1,1446102641,1778126226,0
GSM,648,4,22210,18973,0,26.3222,-18.3451,8800,8,1,1446102647,1778212461,0
GSM,648,4,22210,19231,0,25.8014,-17.8964,9291,16,1,1446107143,1774670120,0
GSM,648,4,22210,18592,0,25.8339,-17.9409,10167,26,1,1446107143,1778212573,0
GSM,648,4,22210,19461,0,25.8564,-17.9253,2552,13,1,1446107144,1733986567,0
GSM,648,4,22210,18602,0,25.8521,-17.9283,1612,8,1,1446107818,1733986562,0
GSM,648,4,22210,19331,0,25.8446,-17.9289,2037,6,1,1446108634,1733986562,0
GSM,648,4,22210,18562,0,25.8244,-17.9595,9183,18,1,1445781850,1778212569,0
GSM,648,4,22210,18913,0,26.7516,-18.3882,4813,7,1,1446847408,1778039952,0
GSM,648,4,22210,18912,0,26.7958,-18.4083,10708,7,1,1446847412,1778039949,0
GSM,648,4,22210,18593,0,25.7972,-17.9255,10636,11,1,1447042086,1778212573,0
GSM,648,4,22210,19233,0,25.8119,-17.9573,6691,6,1,1447042732,1777005200,0
GSM,648,4,22210,19232,0,25.8202,-17.9415,1361,10,1,1447044553,1777005200,0
GSM,648,4,22210,18571,0,25.8889,-18.1009,16508,6,1,1447093491,1777005197,0
GSM,648,4,22210,18573,0,25.9271,-18.1337,11114,6,1,1447093491,1778212478,0
GSM,648,4,22210,18191,0,26.5189,-18.3491,6683,11,1,1447268594,1778212386,0
GSM,648,4,22210,18922,0,26.6293,-18.371,7068,7,1,1446071065,1778039952,0
GSM,648,4,22210,18223,0,26.4891,-18.3502,3104,10,1,1447268594,1778212331,0
GSM,648,4,22210,18921,0,26.637,-18.3736,2428,7,1,1446070767,1778039954,0
GSM,648,4,22210,19002,0,26.5297,-18.3445,3564,8,1,1447268593,1778126247,0
GSM,648,4,22210,18192,0,26.4954,-18.3458,3819,8,1,1447268594,1778212331,0
GSM,648,4,22210,18221,0,26.5058,-18.3445,3650,10,1,1447268594,1778212457,0
GSM,648,4,22210,18971,0,26.3865,-18.3344,7057,8,1,1446072560,1778212461,0
GSM,648,4,22210,19003,0,26.4863,-18.3421,17479,11,1,1447268725,1778212386,0
GSM,648,4,22210,18972,0,26.3229,-18.3459,7630,7,1,1446072560,1778212461,0
GSM,648,4,21004,13481,0,31.012,-17.8482,2417,26,1,1447334393,1767246903,0
GSM,648,4,22210,18911,0,26.7487,-18.3874,5124,6,1,1446847113,1778039952,0
GSM,648,4,22210,18253,0,26.8965,-18.4735,13199,7,1,1446847113,1778039945,0
GSM,648,4,22210,19441,0,25.8416,-17.8801,9319,8,1,1448207327,1733986562,0
GSM,648,4,22210,19453,0,25.8108,-17.9105,9637,9,1,1448208347,1774670120,0
GSM,648,1,201,60051,0,25.3594,-17.7911,39128,15,1,1448208602,1778644335,0
GSM,648,4,22210,19261,0,25.4082,-17.9052,19785,9,1,1448211653,1778212578,0
GSM,648,4,22404,20281,0,30.7067,-19.5535,18769,23,1,1448222826,1777869108,0
GSM,648,4,22403,24323,0,30.7611,-19.9507,15000,27,1,1448222836,1778212521,0
GSM,648,4,22424,23721,0,30.689,-20.366,12637,23,1,1448222847,1778387561,0
GSM,648,4,22423,24243,0,30.7,-21.4157,13448,26,1,1448222871,1778212441,0
GSM,648,4,22423,18712,0,30.4429,-21.782,22989,22,1,1448222875,1778557597,0
GSM,648,4,22423,23692,0,30.588,-21.5752,44596,27,1,1448222875,1778557612,0
GSM,648,4,22423,24533,0,30.734,-21.3151,15582,22,1,1448222868,1778387586,0
GSM,648,4,22423,23893,0,30.7382,-21.2177,14734,21,1,1448222868,1778126389,0
GSM,648,4,22423,23691,0,30.5999,-21.5659,8976,25,1,1448222875,1778557611,0
GSM,648,4,22423,24241,0,30.7254,-21.3682,11660,21,1,1448222872,1778387586,0
GSM,648,4,22225,18733,0,30.1292,-22.0749,8994,25,1,1448222885,1778212401,0
GSM,648,4,22225,18731,0,30.183,-22.0117,9895,24,1,1448222882,1778387602,0
GSM,648,4,22423,18713,0,30.4608,-21.7576,20951,22,1,1448222878,1778557597,0
GSM,648,4,22225,18692,0,30.2697,-21.9316,10173,24,1,1448222878,1778557594,0
GSM,648,4,22225,18693,0,30.2423,-21.956,12556,25,1,1448222882,1778557593,0
GSM,648,4,22225,18651,0,30.0282,-22.1567,7684,23,1,1448222888,1778387606,0
GSM,648,4,22225,19563,0,29.9855,-22.2199,1811,21,1,1448222979,1778903483,0
GSM,648,4,22225,18703,0,29.9857,-22.2192,2204,21,1,1448223031,1778484390,0
GSM,648,4,22225,18702,0,29.9846,-22.2253,1877,24,1,1448223473,1778484397,0
GSM,648,1,122,36703,0,30.0375,-17.2418,26605,6,1,1447932708,1776763442,0
GSM,648,4,22423,23891,0,30.7418,-21.1383,7496,22,1,1448186756,1778126389,0
GSM,648,4,22424,23671,0,30.6392,-20.2766,29735,25,1,1448446618,1778126340,0
GSM,648,4,22403,24321,0,30.7418,-19.8456,18573,23,1,1448446618,1776573147,0
GSM,648,4,22424,23723,0,30.6846,-20.4095,4648,24,1,1448446618,1778387561,0
GSM,648,4,22424,24282,0,30.7413,-20.6635,11404,25,1,1448446618,1778212480,0
GSM,648,4,22423,24522,0,30.7223,-21.0723,24051,21,1,1448185860,1777869053,0
GSM,648,4,22403,23781,0,30.8257,-20.0816,6635,27,1,1448446618,1778387552,0
GSM,648,4,22403,24391,0,30.8098,-20.0543,4514,11,1,1448446618,1777091658,0
GSM,648,1,199,25962,0,30.9832,-17.9258,5089,9,1,1448446618,1778298887,0
GSM,648,4,22403,24322,0,30.7796,-19.9905,7781,24,1,1448446618,1778212521,0
GSM,648,4,22403,23783,0,30.8108,-20.0821,11788,26,1,1448446618,1778387552,0
GSM,648,4,22424,24271,0,30.6781,-20.457,7024,22,1,1448446618,1778387561,0
GSM,648,4,22404,23734,0,30.7079,-19.5057,27559,25,1,1448446618,1738046012,0
GSM,648,4,22424,23722,0,30.6848,-20.4142,6734,26,1,1448446618,1778387561,0
GSM,648,4,22403,24381,0,30.7962,-20.0615,3259,20,1,1448178087,1776573075,0
GSM,648,4,22423,23861,0,30.8675,-20.7736,22708,25,1,1448446618,1776573113,0
GSM,648,4,22423,18711,0,30.5092,-21.6966,23578,24,1,1448446618,1778387594,0
GSM,648,4,22225,18662,0,29.9865,-22.2164,2849,24,1,1448446618,1778903505,0
GSM,648,4,22225,19561,0,29.9861,-22.2174,1665,22,1,1448446618,1778903483,0
GSM,648,4,22423,24543,0,30.7358,-21.2376,19412,25,1,1448446618,1778387586,0
GSM,648,4,22225,18732,0,30.181,-22.0134,7589,21,1,1448446618,1778387602,0
GSM,648,4,22423,23892,0,30.7406,-21.1757,9413,23,1,1448446618,1778126389,0
GSM,648,4,22225,18652,0,29.9881,-22.2234,9600,25,1,1448446618,1778903485,0
GSM,648,4,22225,18701,0,29.9937,-22.2015,7408,26,1,1448446618,1778212408,0
GSM,648,4,22423,23693,0,30.5685,-21.6164,18908,27,1,1448446618,1778387594,0
GSM,648,4,22225,18661,0,29.9954,-22.2022,8946,22,1,1448446618,1778212408,0
GSM,648,4,22423,24712,0,30.7203,-21.375,18368,26,1,1448446618,1778557619,0
GSM,648,4,22225,18653,0,29.9894,-22.2077,4208,21,1,1448446619,1778126254,0
GSM,648,4,22225,18663,0,29.9862,-22.2188,4352,21,1,1448446618,1778903485,0
GSM,648,4,22423,24242,0,30.7235,-21.3738,7328,23,1,1448187661,1777521343,0
GSM,648,4,22423,24711,0,30.7239,-21.3316,16212,25,1,1448187960,1765686883,0
GSM,648,4,22423,24542,0,30.7297,-21.2885,19823,24,1,1448446618,1778387586,0
