province,district_name,urban_rural,population,pop_covered_4g_pct,internet_users_pct,electricity_access_pct,basket_data_voice_low_pct_gni,coverage_gap,adoption_gap,affordability_gap,electricity_gap,ddi,ddi_rank,ddi_quintile,base_stations,base_stations_per_10k,towers_per_10k
Matabeleland South,Mangwe,rural,65562,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),29,4.42,0.76
Mashonaland West,Kariba Rural,rural,45774,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),20,4.37,
Harare,Harare Urban,urban,1491740,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),2827,18.95,0.01
Bulawayo,Bulawayo,urban,665940,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),1262,18.95,0.14
Harare,Chitungwiza,urban,371244,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),703,18.94,0.54
Manicaland,Mutare,urban,224802,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),426,18.95,0.09
Harare,Epworth,urban,206365,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),391,18.95,5.86
Midlands,Gweru Urban,urban,161292,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),306,18.97,
Midlands,Kwekwe Urban,urban,119863,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),227,18.94,
Mashonaland West,Kadoma,urban,117380,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),222,18.91,
Mashonaland West,Chinhoyi Urban,urban,103671,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),196,18.91,
Mashonaland East,Ruwa Local Board,urban,94083,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),178,18.92,
Masvingo,Masvingo Urban,urban,90286,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),171,18.94,
Mashonaland West,Norton,urban,87038,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),165,18.96,
Mashonaland West,Chegutu Urban,urban,66258,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),126,19.02,
Mashonaland East,Marondera,urban,66203,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),125,18.88,0.3
Midlands,Zvishavane Urban,urban,59717,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),113,18.92,
Matabeleland South,Beitbridge,urban,58574,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),111,18.95,
Mashonaland Central,Bindura Urban,urban,51393,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),97,18.87,
Midlands,Redcliff,urban,41526,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),79,19.02,
Masvingo,Chiredzi Urban,urban,40457,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),77,19.03,
Matabeleland North,Hwange Urban,urban,40241,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),76,18.89,
Manicaland,Rusape,urban,37906,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),72,18.99,
Mashonaland West,Karoi,urban,37564,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),71,18.9,
Matabeleland North,Victoria Falls,urban,35199,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),67,19.03,
Manicaland,Chipinge Urban,urban,34959,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),66,18.88,
Midlands,Gokwe Centre,urban,33075,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),63,19.05,
Mashonaland West,Kariba Urban,urban,27909,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),53,18.99,
Matabeleland South,Gwanda Urban,urban,27143,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),51,18.79,
Midlands,Shurugwi Urban,urban,23304,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),44,18.88,
Mashonaland Central,Mvurwi,urban,15645,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),30,19.18,
Matabeleland South,Plumtree,urban,14459,95.9,41.64,84.0,3.15,4.1,58.4,31.5,16.0,27.5,62,Q1 (best),27,18.67,
